,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
99,008560,KR7008560005,메리츠증권,KOSPI,,4450,1,160,3.73,4580,4580,4255,2684915,11775584110,2846712076550,639710579,STK
100,047050,KR7047050000,포스코인터내셔널,KOSPI,,22800,3,0,0.0,23400,23400,22600,688621,15758478250,2812953397200,123375149,STK
101,064350,KR7064350002,현대로템,KOSPI,,25700,1,100,0.39,26500,26550,25600,2761315,71672791500,2804956930100,109142293,STK
102,180640,KR7180640005,한진칼,KOSPI,,41800,1,1450,3.59,41100,41950,41000,394603,15964752900,2790643072800,66761796,STK
103,028670,KR7028670008,팬오션,KOSPI,,5120,1,330,6.89,4975,5190,4920,5427249,27194048885,2736995901440,534569512,STK
104,030000,KR7030000004,제일기획,KOSPI,,23600,2,-150,-0.63,24050,24200,23550,361495,8599279000,2714972910000,115041225,STK
105,001450,KR7001450006,현대해상,KOSPI,,30100,2,-1100,-3.53,31250,31250,29450,1299292,39075956900,2690940000000,89400000,STK
106,139480,KR7139480008,이마트,KOSPI,,92500,1,3200,3.58,92000,92800,91100,141405,13013078300,2578513257500,27875819,STK
107,051915,KR7051911006,LG화학우,KOSPI,,332500,1,9500,2.94,332000,338000,330500,30061,10049302000,2556526000000,7688800,STK
108,023530,KR7023530009,롯데쇼핑,KOSPI,,90100,1,2500,2.85,89500,90200,88000,96777,8630830400,2548816825500,28288755,STK
109,052690,KR7052690005,한전기술,KOSPI,,64600,1,2000,3.19,64800,65800,64000,625164,40527573900,2469012000000,38220000,STK
110,010060,KR7010060002,OCI,KOSPI,,103500,1,2500,2.48,105500,106000,102500,511881,53293155500,2468409898500,23849371,STK
111,012750,KR7012750006,에스원,KOSPI,,64500,1,1000,1.57,63900,64700,63600,48591,3117941200,2450946981000,37999178,STK
112,014680,KR7014680003,한솔케미칼,KOSPI,,215500,1,18500,9.39,205000,218000,204000,142914,30283470000,2442734522500,11335195,STK
113,039490,KR7039490008,키움증권,KOSPI,,92600,1,6800,7.93,94300,94300,90600,172480,16042735600,2427926903800,26219513,STK
114,336260,KR7336260005,두산퓨얼셀,KOSPI,,36650,1,2900,8.59,36200,37200,35000,1306531,47413646300,2400345057900,65493726,STK
115,204320,KR7204320006,HL만도,KOSPI,,50900,2,-100,-0.2,52300,52400,50600,308342,15772064400,2390117408000,46957120,STK
116,002790,KR7002790004,아모레G,KOSPI,,28800,1,1600,5.88,28450,29400,27250,524896,14906842700,2374795584000,82458180,STK
117,008930,KR7008930000,한미사이언스,KOSPI,,34400,2,-350,-1.01,35500,35500,34400,129499,4499360700,2360654729600,68623684,STK
118,001040,KR7001040005,CJ,KOSPI,,77100,1,1400,1.85,77300,77400,76200,41060,3156938000,2249546545800,29176998,STK
119,002380,KR7002380004,KCC,KOSPI,,253000,1,3000,1.2,258500,259000,251000,33412,8517876500,2248277163000,8886471,STK
120,001440,KR7001440007,대한전선,KOSPI,,1805,1,45,2.56,1810,1820,1775,21562640,38757785550,2246273781245,1244473009,STK
121,272210,KR7272210006,한화시스템,KOSPI,,11800,1,300,2.61,11800,11900,11600,513644,6030047000,2229248790200,188919389,STK
122,026960,KR7026960005,동서,KOSPI,,22300,1,600,2.76,22000,22450,22000,69812,1551202400,2223310000000,99700000,STK
123,006260,KR7006260004,LS,KOSPI,,69000,1,1400,2.07,69000,69800,68000,109766,7578204100,2221800000000,32200000,STK
124,138930,KR7138930003,BNK금융지주,KOSPI,,6690,1,70,1.06,6750,6760,6650,1155689,7735615500,2180506795740,325935246,STK
125,000880,KR7000880005,한화,KOSPI,,28800,1,450,1.59,29150,29250,28350,163539,4698224300,2158811568000,74958735,STK
126,004170,KR7004170007,신세계,KOSPI,,218500,1,10000,4.8,213500,219500,210500,174431,37358302000,2151172048500,9845181,STK
127,079550,KR7079550000,LIG넥스원,KOSPI,,97700,3,0,0.0,99700,100500,96500,278600,27288980600,2149400000000,22000000,STK
128,111770,KR7111770004,영원무역,KOSPI,,48250,1,50,0.1,48850,49250,47950,99949,4838095950,2138028331000,44311468,STK
129,042660,KR7042660001,대우조선해양,KOSPI,,19350,1,550,2.93,19450,19450,19050,619364,11932335300,2076074445150,107290669,STK
130,006360,KR7006360002,GS건설,KOSPI,,24250,1,450,1.89,24850,24950,23800,1934346,46992041850,2075351132500,85581490,STK
131,000990,KR7000990002,DB하이텍,KOSPI,,46150,1,1300,2.9,47000,47450,45700,1067086,49425875100,2048994836200,44398588,STK
132,005070,KR7005070008,코스모신소재,KOSPI,,66300,1,800,1.22,67500,67600,65100,560663,37175867800,2032145122800,30650756,STK
133,081660,KR7081660003,휠라홀딩스,KOSPI,,33250,1,150,0.45,33900,34200,33100,222771,7472776200,2020011381500,60752222,STK
134,047040,KR7047040001,대우건설,KOSPI,,4810,1,25,0.52,4930,4935,4770,1906457,9185334400,1999144888780,415622638,STK
135,005385,KR7005381009,현대차우,KOSPI,,81900,1,700,0.86,83000,83100,81400,47744,3914507900,1994812501500,24356685,STK
136,000120,KR7000120006,CJ대한통운,KOSPI,,86600,1,2400,2.85,86500,88700,83800,211458,18135613400,1975548990400,22812344,STK
137,000080,KR7000080002,하이트진로,KOSPI,,27400,1,150,0.55,27850,28250,27250,265819,7311304750,1921660941400,70133611,STK
138,088350,KR7088350004,한화생명,KOSPI,,2195,3,0,0.0,2240,2245,2180,1649674,3632603815,1906423350000,868530000,STK
139,004370,KR7004370003,농심,KOSPI,,303500,2,-4500,-1.46,309500,310000,299000,33442,10164853000,1846081847000,6082642,STK
140,001570,KR7001570001,금양,KOSPI,,31800,2,-150,-0.47,34050,34450,28300,17955765,555566117800,1845991176600,58050037,STK
